,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
0,1291006,Debt collection,,Communication tactics,Frequent or repeated calls,TX,76119.0,2015-03-19,2015-03-19,"Premium Asset Services, LLC",In progress,Yes,
1,1290580,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479.0,2015-03-19,2015-03-19,Accounts Receivable Consultants Inc.,Closed with explanation,Yes,
2,1290564,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,MA,2127.0,2015-03-19,2015-03-19,RBS Citizens,Closed with explanation,Yes,Yes
3,1291615,Credit card,,Other,,CA,92592.0,2015-03-19,2015-03-19,Navy FCU,In progress,Yes,
4,1292165,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,43068.0,2015-03-19,2015-03-19,Transworld Systems Inc.,In progress,Yes,
5,1291176,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,OH,43068.0,2015-03-19,2015-03-19,ACE Cash Express Inc.,In progress,Yes,
6,1288848,Consumer loan,Installment loan,Managing the loan or lease,,OH,44241.0,2015-03-18,2015-03-18,"CashCall, Inc.",Closed with explanation,Yes,Yes
7,1288788,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,CA,95124.0,2015-03-18,2015-03-18,ACE Cash Express Inc.,Closed with explanation,Yes,
8,1288324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NJ,7067.0,2015-03-18,2015-03-18,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,
9,1288304,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,TX,77433.0,2015-03-18,2015-03-18,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes
10,1289772,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,ND,58237.0,2015-03-18,2015-03-18,Niagara Portfolio Solutions LLC,Closed with explanation,Yes,
11,1288903,Bank account or service,Other bank product/service,Deposits and withdrawals,,RI,2893.0,2015-03-18,2015-03-18,Santander Bank US,In progress,Yes,
12,1289633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CO,80301.0,2015-03-18,2015-03-18,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,Yes,
13,1289273,Payday loan,,Can't contact lender,,TX,78205.0,2015-03-18,2015-03-18,ACE Cash Express Inc.,In progress,Yes,
14,1289900,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,UT,84405.0,2015-03-18,2015-03-18,Account Liquidation Services Inc.,Closed with non-monetary relief,Yes,Yes
15,1290486,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,36756.0,2015-03-18,2015-03-19,"Expert Global Solutions, Inc.",In progress,Yes,
16,1289049,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PA,19140.0,2015-03-18,2015-03-18,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,
17,1288962,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77099.0,2015-03-18,2015-03-18,"Amsher Collection Services, Inc.",Closed with explanation,Yes,
18,1289394,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,CA,92069.0,2015-03-18,2015-03-18,"Recovery One, LLC",Closed with explanation,Yes,
19,1288148,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NY,10470.0,2015-03-18,2015-03-18,"CMRE Financial Services, Inc.",Closed with explanation,Yes,
20,1288098,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NC,28110.0,2015-03-18,2015-03-18,Flagstar Bank,In progress,Yes,
21,1288375,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,GA,30058.0,2015-03-18,2015-03-18,Rent Recovery Solutions,Closed with explanation,Yes,
22,1289844,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,IL,60411.0,2015-03-18,2015-03-18,"Municipal Collections Services, Inc.",Closed with explanation,Yes,Yes
23,1290474,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,CA,92592.0,2015-03-18,2015-03-19,ACE Cash Express Inc.,Closed with explanation,Yes,
